term,grade,home_ownership,emp_length,loan_status
 36 months,C,MORTGAGE,10+ years,Charged Off
 36 months,D,RENT,1 year,Charged Off
 36 months,D,RENT,2 years,Charged Off
 36 months,A,MORTGAGE,6 years,Charged Off
 60 months,F,MORTGAGE,1 year,Charged Off
 36 months,C,MORTGAGE,9 years,Charged Off
 36 months,B,RENT,< 1 year,Charged Off
 60 months,F,RENT,,Charged Off
 36 months,C,MORTGAGE,2 years,Charged Off
 60 months,F,MORTGAGE,10+ years,Charged Off
 36 months,E,RENT,< 1 year,Charged Off
 60 months,F,RENT,9 years,Charged Off
 60 months,F,RENT,4 years,Charged Off
 60 months,B,MORTGAGE,10+ years,Charged Off
 36 months,D,RENT,2 years,Charged Off
 60 months,F,RENT,2 years,Charged Off
 36 months,D,OWN,10+ years,Charged Off
 60 months,D,RENT,6 years,Charged Off
 36 months,B,MORTGAGE,9 years,Charged Off
 36 months,D,RENT,2 years,Charged Off
 36 months,D,MORTGAGE,,Charged Off
 36 months,B,MORTGAGE,5 years,Charged Off
 60 months,D,MORTGAGE,10+ years,Charged Off
 60 months,C,MORTGAGE,9 years,Charged Off
 36 months,A,RENT,4 years,Charged Off
 60 months,F,MORTGAGE,7 years,Charged Off
 36 months,A,MORTGAGE,10+ years,Charged Off
 36 months,B,MORTGAGE,,Charged Off
 60 months,D,MORTGAGE,10+ years,Charged Off
 60 months,D,RENT,< 1 year,Charged Off
 60 months,C,MORTGAGE,6 years,Charged Off
 36 months,C,OWN,3 years,Charged Off
 36 months,C,MORTGAGE,10+ years,Charged Off
 36 months,D,RENT,< 1 year,Charged Off
 36 months,A,MORTGAGE,6 years,Charged Off
 36 months,E,RENT,,Charged Off
 36 months,D,MORTGAGE,10+ years,Charged Off
 36 months,D,RENT,1 year,Charged Off
 36 months,A,MORTGAGE,10+ years,Charged Off
 60 months,F,MORTGAGE,2 years,Charged Off
 36 months,D,RENT,2 years,Charged Off
 36 months,B,OWN,3 years,Charged Off
 60 months,E,MORTGAGE,10+ years,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 36 months,D,RENT,7 years,Charged Off
 36 months,C,RENT,4 years,Charged Off
 36 months,B,RENT,10+ years,Charged Off
 60 months,C,RENT,4 years,Charged Off
 60 months,D,MORTGAGE,4 years,Charged Off
 36 months,C,RENT,4 years,Charged Off
 36 months,D,RENT,8 years,Charged Off
 60 months,B,MORTGAGE,10+ years,Charged Off
 36 months,A,RENT,1 year,Charged Off
 36 months,C,RENT,7 years,Charged Off
 60 months,D,RENT,2 years,Charged Off
 36 months,C,RENT,10+ years,Charged Off
 36 months,C,MORTGAGE,9 years,Charged Off
 36 months,C,RENT,10+ years,Charged Off
 36 months,B,MORTGAGE,8 years,Charged Off
 36 months,D,RENT,8 years,Charged Off
 60 months,D,MORTGAGE,2 years,Charged Off
 36 months,F,RENT,3 years,Charged Off
 36 months,E,RENT,7 years,Charged Off
 36 months,C,MORTGAGE,2 years,Charged Off
 60 months,E,RENT,2 years,Charged Off
 60 months,B,MORTGAGE,3 years,Charged Off
 36 months,D,MORTGAGE,8 years,Charged Off
 60 months,E,MORTGAGE,5 years,Charged Off
 60 months,F,MORTGAGE,10+ years,Charged Off
 36 months,C,MORTGAGE,6 years,Charged Off
 60 months,E,RENT,10+ years,Charged Off
 36 months,D,RENT,10+ years,Charged Off
 60 months,C,MORTGAGE,8 years,Charged Off
 60 months,C,MORTGAGE,5 years,Charged Off
 60 months,D,RENT,1 year,Charged Off
 36 months,C,RENT,1 year,Charged Off
 36 months,C,MORTGAGE,3 years,Charged Off
 60 months,F,RENT,10+ years,Charged Off
 60 months,E,RENT,3 years,Charged Off
 60 months,C,MORTGAGE,4 years,Charged Off
 36 months,C,MORTGAGE,8 years,Charged Off
 36 months,B,OWN,4 years,Charged Off
 36 months,D,RENT,10+ years,Charged Off
 36 months,C,RENT,3 years,Charged Off
 36 months,B,MORTGAGE,5 years,Charged Off
 36 months,A,MORTGAGE,10+ years,Charged Off
 36 months,B,RENT,10+ years,Charged Off
 60 months,F,MORTGAGE,10+ years,Charged Off
 36 months,D,MORTGAGE,2 years,Charged Off
 60 months,B,RENT,3 years,Charged Off
 60 months,E,MORTGAGE,10+ years,Charged Off
 36 months,B,MORTGAGE,4 years,Charged Off
 36 months,C,RENT,2 years,Charged Off
 60 months,C,MORTGAGE,9 years,Charged Off
 36 months,D,RENT,2 years,Charged Off
 60 months,B,MORTGAGE,6 years,Charged Off
 60 months,B,RENT,< 1 year,Charged Off
 60 months,B,MORTGAGE,9 years,Charged Off
 36 months,E,RENT,2 years,Charged Off
 60 months,C,MORTGAGE,7 years,Charged Off
 60 months,D,MORTGAGE,10+ years,Charged Off
 36 months,E,RENT,8 years,Charged Off
 36 months,D,RENT,4 years,Charged Off
 60 months,F,RENT,4 years,Charged Off
 36 months,C,RENT,< 1 year,Charged Off
 60 months,E,RENT,1 year,Charged Off
 60 months,E,OWN,6 years,Charged Off
 36 months,D,OWN,3 years,Charged Off
 36 months,D,RENT,,Charged Off
 36 months,D,RENT,< 1 year,Charged Off
 36 months,D,MORTGAGE,5 years,Charged Off
 60 months,B,RENT,5 years,Charged Off
 60 months,F,RENT,10+ years,Charged Off
 36 months,B,RENT,3 years,Charged Off
 60 months,D,RENT,,Charged Off
 36 months,D,RENT,10+ years,Charged Off
 36 months,D,MORTGAGE,5 years,Charged Off
 60 months,F,RENT,4 years,Charged Off
 60 months,E,MORTGAGE,10+ years,Charged Off
 36 months,C,OWN,10+ years,Charged Off
 60 months,E,MORTGAGE,10+ years,Charged Off
 60 months,E,RENT,10+ years,Charged Off
 36 months,C,RENT,10+ years,Charged Off
 36 months,B,MORTGAGE,6 years,Charged Off
 36 months,C,RENT,1 year,Charged Off
 60 months,D,MORTGAGE,< 1 year,Charged Off
 60 months,C,MORTGAGE,10+ years,Charged Off
 36 months,D,MORTGAGE,7 years,Charged Off
 36 months,B,RENT,10+ years,Charged Off
 36 months,B,RENT,3 years,Charged Off
 36 months,C,MORTGAGE,< 1 year,Charged Off
 36 months,B,RENT,6 years,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 36 months,D,MORTGAGE,6 years,Charged Off
 36 months,C,MORTGAGE,,Charged Off
 36 months,B,RENT,3 years,Charged Off
 36 months,B,RENT,5 years,Charged Off
 60 months,D,MORTGAGE,8 years,Charged Off
 36 months,B,RENT,7 years,Charged Off
 60 months,D,RENT,3 years,Charged Off
 36 months,A,RENT,7 years,Charged Off
 60 months,E,RENT,8 years,Charged Off
 36 months,C,MORTGAGE,5 years,Charged Off
 60 months,E,MORTGAGE,7 years,Charged Off
 60 months,B,MORTGAGE,10+ years,Charged Off
 60 months,F,MORTGAGE,10+ years,Charged Off
 36 months,A,MORTGAGE,9 years,Charged Off
 36 months,C,RENT,,Charged Off
 60 months,D,MORTGAGE,10+ years,Charged Off
 36 months,E,RENT,4 years,Charged Off
 60 months,B,RENT,4 years,Charged Off
 60 months,E,MORTGAGE,10+ years,Charged Off
 36 months,D,MORTGAGE,< 1 year,Charged Off
 60 months,E,RENT,1 year,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 60 months,D,RENT,4 years,Charged Off
 36 months,C,RENT,4 years,Charged Off
 36 months,C,MORTGAGE,3 years,Charged Off
 60 months,E,MORTGAGE,5 years,Charged Off
 36 months,D,RENT,4 years,Charged Off
 36 months,E,RENT,8 years,Charged Off
 36 months,D,RENT,2 years,Charged Off
 36 months,C,MORTGAGE,10+ years,Charged Off
 60 months,C,MORTGAGE,< 1 year,Charged Off
 60 months,E,MORTGAGE,9 years,Charged Off
 36 months,C,OWN,10+ years,Charged Off
 60 months,D,MORTGAGE,10+ years,Charged Off
 60 months,D,MORTGAGE,4 years,Charged Off
 36 months,D,RENT,10+ years,Charged Off
 36 months,B,OWN,2 years,Charged Off
 36 months,C,MORTGAGE,10+ years,Charged Off
 36 months,B,RENT,10+ years,Charged Off
 36 months,C,MORTGAGE,< 1 year,Charged Off
 36 months,B,MORTGAGE,6 years,Charged Off
 36 months,C,MORTGAGE,10+ years,Charged Off
 60 months,E,MORTGAGE,6 years,Charged Off
 60 months,B,MORTGAGE,5 years,Charged Off
 36 months,B,MORTGAGE,5 years,Charged Off
 36 months,D,RENT,4 years,Charged Off
 36 months,D,RENT,< 1 year,Charged Off
 36 months,F,RENT,1 year,Charged Off
 60 months,C,MORTGAGE,10+ years,Charged Off
 36 months,C,MORTGAGE,3 years,Charged Off
 36 months,D,RENT,7 years,Charged Off
 36 months,C,RENT,< 1 year,Charged Off
 60 months,D,MORTGAGE,10+ years,Charged Off
 36 months,D,RENT,4 years,Charged Off
 36 months,D,MORTGAGE,3 years,Charged Off
 36 months,D,MORTGAGE,10+ years,Charged Off
 60 months,C,MORTGAGE,4 years,Charged Off
 36 months,B,RENT,8 years,Charged Off
 60 months,E,OWN,,Charged Off
 36 months,B,RENT,7 years,Charged Off
 60 months,F,RENT,7 years,Charged Off
 36 months,E,RENT,< 1 year,Charged Off
 60 months,B,MORTGAGE,1 year,Charged Off
 36 months,B,RENT,10+ years,Charged Off
 60 months,E,RENT,< 1 year,Charged Off
 36 months,A,MORTGAGE,10+ years,Charged Off
 36 months,B,MORTGAGE,< 1 year,Charged Off
 36 months,B,RENT,< 1 year,Charged Off
 60 months,E,MORTGAGE,8 years,Charged Off
 36 months,B,RENT,,Charged Off
 36 months,C,MORTGAGE,,Charged Off
 60 months,E,RENT,10+ years,Charged Off
 36 months,B,RENT,< 1 year,Charged Off
 36 months,C,MORTGAGE,10+ years,Charged Off
 36 months,B,RENT,1 year,Charged Off
 36 months,D,MORTGAGE,4 years,Charged Off
 36 months,C,MORTGAGE,6 years,Charged Off
 36 months,A,MORTGAGE,10+ years,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 36 months,D,RENT,4 years,Charged Off
 36 months,B,MORTGAGE,8 years,Charged Off
 60 months,E,RENT,1 year,Charged Off
 60 months,E,MORTGAGE,10+ years,Charged Off
 36 months,B,MORTGAGE,3 years,Charged Off
 36 months,B,RENT,2 years,Charged Off
 60 months,C,MORTGAGE,4 years,Charged Off
 36 months,C,RENT,7 years,Charged Off
 60 months,C,RENT,3 years,Charged Off
 60 months,C,MORTGAGE,10+ years,Charged Off
 36 months,E,MORTGAGE,8 years,Charged Off
 60 months,D,RENT,6 years,Charged Off
 60 months,D,RENT,3 years,Charged Off
 60 months,D,MORTGAGE,10+ years,Charged Off
 36 months,D,RENT,< 1 year,Charged Off
 36 months,D,RENT,< 1 year,Charged Off
 36 months,C,MORTGAGE,10+ years,Charged Off
 60 months,E,MORTGAGE,10+ years,Charged Off
 36 months,D,MORTGAGE,1 year,Charged Off
 60 months,C,RENT,10+ years,Charged Off
 60 months,C,MORTGAGE,5 years,Charged Off
 36 months,B,RENT,4 years,Charged Off
 60 months,F,RENT,10+ years,Charged Off
 36 months,B,MORTGAGE,,Charged Off
 36 months,A,MORTGAGE,10+ years,Charged Off
 60 months,F,RENT,7 years,Charged Off
 36 months,A,MORTGAGE,1 year,Charged Off
 60 months,E,RENT,3 years,Charged Off
 36 months,B,MORTGAGE,,Charged Off
 36 months,B,RENT,3 years,Charged Off
 36 months,E,RENT,10+ years,Charged Off
 60 months,C,MORTGAGE,10+ years,Charged Off
 36 months,D,MORTGAGE,3 years,Charged Off
 36 months,B,MORTGAGE,1 year,Charged Off
 36 months,D,RENT,2 years,Charged Off
 36 months,C,RENT,10+ years,Charged Off
 36 months,B,RENT,< 1 year,Charged Off
 36 months,C,RENT,< 1 year,Charged Off
 36 months,B,OWN,10+ years,Charged Off
 60 months,E,RENT,< 1 year,Charged Off
 36 months,B,RENT,3 years,Charged Off
 60 months,D,RENT,3 years,Charged Off
 36 months,A,RENT,4 years,Charged Off
 36 months,D,MORTGAGE,10+ years,Charged Off
 60 months,G,MORTGAGE,10+ years,Charged Off
 36 months,C,RENT,10+ years,Charged Off
 36 months,D,MORTGAGE,,Charged Off
 36 months,C,RENT,5 years,Charged Off
 36 months,C,RENT,5 years,Charged Off
 60 months,D,RENT,< 1 year,Charged Off
 36 months,C,RENT,2 years,Charged Off
 60 months,E,RENT,3 years,Charged Off
 60 months,F,OWN,10+ years,Charged Off
 60 months,F,RENT,< 1 year,Charged Off
 36 months,D,RENT,10+ years,Charged Off
 60 months,D,MORTGAGE,9 years,Charged Off
 60 months,B,MORTGAGE,10+ years,Charged Off
 36 months,D,MORTGAGE,,Charged Off
 36 months,C,MORTGAGE,2 years,Charged Off
 36 months,A,RENT,< 1 year,Charged Off
 36 months,A,RENT,,Charged Off
 60 months,B,RENT,8 years,Charged Off
 36 months,A,MORTGAGE,10+ years,Charged Off
 36 months,D,OWN,,Charged Off
 60 months,D,MORTGAGE,3 years,Charged Off
 36 months,D,MORTGAGE,,Charged Off
 60 months,B,MORTGAGE,1 year,Charged Off
 36 months,B,MORTGAGE,2 years,Charged Off
 36 months,D,OWN,7 years,Charged Off
 36 months,C,RENT,< 1 year,Charged Off
 36 months,C,OWN,5 years,Charged Off
 60 months,F,MORTGAGE,10+ years,Charged Off
 36 months,C,RENT,3 years,Charged Off
 60 months,E,RENT,3 years,Charged Off
 36 months,D,MORTGAGE,3 years,Charged Off
 60 months,D,MORTGAGE,7 years,Charged Off
 36 months,B,MORTGAGE,< 1 year,Charged Off
 36 months,E,RENT,5 years,Charged Off
 60 months,E,MORTGAGE,4 years,Charged Off
 60 months,F,RENT,7 years,Charged Off
 36 months,C,MORTGAGE,,Charged Off
 36 months,D,MORTGAGE,10+ years,Charged Off
 60 months,C,MORTGAGE,2 years,Charged Off
 60 months,F,RENT,4 years,Charged Off
 60 months,B,MORTGAGE,10+ years,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 60 months,F,RENT,5 years,Charged Off
 36 months,F,MORTGAGE,5 years,Charged Off
 36 months,D,RENT,2 years,Charged Off
 36 months,A,MORTGAGE,9 years,Charged Off
 36 months,C,MORTGAGE,6 years,Charged Off
 36 months,B,RENT,1 year,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 36 months,C,RENT,< 1 year,Charged Off
 36 months,C,MORTGAGE,3 years,Charged Off
 36 months,D,RENT,7 years,Charged Off
 36 months,C,MORTGAGE,< 1 year,Charged Off
 36 months,D,RENT,2 years,Charged Off
 36 months,D,MORTGAGE,5 years,Charged Off
 36 months,C,RENT,8 years,Charged Off
 60 months,E,MORTGAGE,7 years,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 60 months,E,MORTGAGE,8 years,Charged Off
 60 months,F,RENT,2 years,Charged Off
 36 months,C,RENT,6 years,Charged Off
 60 months,D,MORTGAGE,7 years,Charged Off
 36 months,B,RENT,1 year,Charged Off
 60 months,F,RENT,2 years,Charged Off
 36 months,D,RENT,3 years,Charged Off
 60 months,B,RENT,8 years,Charged Off
 36 months,C,MORTGAGE,1 year,Charged Off
 36 months,D,RENT,10+ years,Charged Off
 36 months,B,RENT,8 years,Charged Off
 60 months,D,RENT,8 years,Charged Off
 36 months,A,RENT,1 year,Charged Off
 36 months,B,RENT,10+ years,Charged Off
 36 months,E,MORTGAGE,4 years,Charged Off
 60 months,E,MORTGAGE,7 years,Charged Off
 36 months,B,MORTGAGE,6 years,Charged Off
 36 months,B,RENT,3 years,Charged Off
 60 months,D,MORTGAGE,10+ years,Charged Off
 60 months,D,RENT,,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 36 months,C,RENT,7 years,Charged Off
 60 months,D,MORTGAGE,10+ years,Charged Off
 60 months,B,OWN,3 years,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 60 months,E,RENT,2 years,Charged Off
 60 months,F,RENT,< 1 year,Charged Off
 36 months,B,MORTGAGE,1 year,Charged Off
 36 months,D,RENT,< 1 year,Charged Off
 60 months,D,RENT,10+ years,Charged Off
 36 months,A,MORTGAGE,10+ years,Charged Off
 36 months,B,RENT,7 years,Charged Off
 60 months,E,MORTGAGE,10+ years,Charged Off
 60 months,C,MORTGAGE,5 years,Charged Off
 36 months,C,MORTGAGE,8 years,Charged Off
 36 months,B,RENT,7 years,Charged Off
 36 months,D,RENT,6 years,Charged Off
 36 months,A,RENT,,Charged Off
 60 months,E,RENT,1 year,Charged Off
 36 months,C,RENT,2 years,Charged Off
 36 months,C,MORTGAGE,10+ years,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 60 months,G,OWN,10+ years,Charged Off
 36 months,D,RENT,4 years,Charged Off
 60 months,D,RENT,3 years,Charged Off
 60 months,D,RENT,< 1 year,Charged Off
 36 months,C,MORTGAGE,3 years,Charged Off
 36 months,B,RENT,< 1 year,Charged Off
 36 months,C,MORTGAGE,10+ years,Charged Off
 60 months,C,RENT,7 years,Charged Off
 36 months,C,MORTGAGE,9 years,Charged Off
 60 months,E,RENT,10+ years,Charged Off
 60 months,C,MORTGAGE,8 years,Charged Off
 60 months,F,MORTGAGE,1 year,Charged Off
 36 months,C,RENT,1 year,Charged Off
 60 months,C,MORTGAGE,5 years,Charged Off
 36 months,C,RENT,< 1 year,Charged Off
 36 months,B,RENT,3 years,Charged Off
 36 months,A,MORTGAGE,1 year,Charged Off
 60 months,E,MORTGAGE,9 years,Charged Off
 36 months,A,RENT,5 years,Charged Off
 36 months,B,MORTGAGE,5 years,Charged Off
 60 months,F,RENT,3 years,Charged Off
 36 months,E,RENT,10+ years,Charged Off
 36 months,D,RENT,3 years,Charged Off
 36 months,D,RENT,2 years,Charged Off
 36 months,F,RENT,3 years,Charged Off
 36 months,D,MORTGAGE,10+ years,Charged Off
 36 months,C,MORTGAGE,10+ years,Charged Off
 36 months,E,OWN,7 years,Charged Off
 36 months,A,RENT,6 years,Charged Off
 60 months,C,MORTGAGE,7 years,Charged Off
 36 months,B,RENT,7 years,Charged Off
 36 months,C,RENT,< 1 year,Charged Off
 60 months,D,RENT,2 years,Charged Off
 60 months,E,MORTGAGE,10+ years,Charged Off
 60 months,E,RENT,3 years,Charged Off
 60 months,D,MORTGAGE,5 years,Charged Off
 36 months,C,RENT,9 years,Charged Off
 36 months,B,RENT,4 years,Charged Off
 36 months,D,MORTGAGE,10+ years,Charged Off
 36 months,F,RENT,1 year,Charged Off
 36 months,D,RENT,10+ years,Charged Off
 36 months,A,RENT,1 year,Charged Off
 36 months,C,MORTGAGE,9 years,Charged Off
 36 months,B,RENT,5 years,Charged Off
 36 months,C,MORTGAGE,3 years,Charged Off
 36 months,C,RENT,8 years,Charged Off
 36 months,D,RENT,2 years,Charged Off
 60 months,B,MORTGAGE,10+ years,Charged Off
 60 months,C,MORTGAGE,7 years,Charged Off
 36 months,D,MORTGAGE,10+ years,Charged Off
 36 months,B,OWN,10+ years,Charged Off
 36 months,D,MORTGAGE,,Charged Off
 36 months,D,MORTGAGE,7 years,Charged Off
 36 months,C,MORTGAGE,2 years,Charged Off
 60 months,B,MORTGAGE,7 years,Charged Off
 36 months,C,RENT,6 years,Charged Off
 60 months,E,RENT,2 years,Charged Off
 60 months,D,MORTGAGE,8 years,Charged Off
 36 months,D,MORTGAGE,1 year,Charged Off
 36 months,B,RENT,5 years,Charged Off
 60 months,E,RENT,2 years,Charged Off
 36 months,B,RENT,8 years,Charged Off
 60 months,D,MORTGAGE,7 years,Charged Off
 36 months,C,MORTGAGE,< 1 year,Charged Off
 60 months,C,OWN,10+ years,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 60 months,D,MORTGAGE,10+ years,Charged Off
 36 months,C,MORTGAGE,3 years,Charged Off
 36 months,D,RENT,2 years,Charged Off
 36 months,E,RENT,5 years,Charged Off
 36 months,C,MORTGAGE,10+ years,Charged Off
 36 months,C,RENT,1 year,Charged Off
 36 months,B,RENT,< 1 year,Charged Off
 60 months,C,OWN,10+ years,Charged Off
 60 months,E,MORTGAGE,2 years,Charged Off
 60 months,C,RENT,5 years,Charged Off
 60 months,E,MORTGAGE,5 years,Charged Off
 36 months,C,RENT,6 years,Charged Off
 36 months,E,MORTGAGE,9 years,Charged Off
 36 months,B,MORTGAGE,7 years,Charged Off
 60 months,E,MORTGAGE,9 years,Charged Off
 36 months,D,MORTGAGE,5 years,Charged Off
 36 months,C,MORTGAGE,10+ years,Charged Off
 36 months,C,RENT,5 years,Charged Off
 36 months,C,MORTGAGE,8 years,Charged Off
 36 months,B,MORTGAGE,1 year,Charged Off
 36 months,D,RENT,3 years,Charged Off
 36 months,B,RENT,< 1 year,Charged Off
 36 months,A,RENT,3 years,Charged Off
 36 months,D,RENT,< 1 year,Charged Off
 60 months,D,OWN,3 years,Charged Off
 36 months,B,MORTGAGE,4 years,Charged Off
 36 months,A,MORTGAGE,10+ years,Charged Off
 36 months,C,RENT,6 years,Charged Off
 36 months,D,MORTGAGE,10+ years,Charged Off
 36 months,B,RENT,8 years,Charged Off
 36 months,D,RENT,< 1 year,Charged Off
 36 months,C,MORTGAGE,3 years,Charged Off
 36 months,C,RENT,4 years,Charged Off
 60 months,E,RENT,7 years,Charged Off
 60 months,F,RENT,,Charged Off
 36 months,A,RENT,2 years,Charged Off
 60 months,D,RENT,1 year,Charged Off
 60 months,G,MORTGAGE,10+ years,Charged Off
 36 months,B,OWN,4 years,Charged Off
 36 months,B,RENT,10+ years,Charged Off
 60 months,C,MORTGAGE,8 years,Charged Off
 60 months,E,RENT,10+ years,Charged Off
 36 months,C,RENT,< 1 year,Charged Off
 60 months,C,MORTGAGE,10+ years,Charged Off
 36 months,D,RENT,10+ years,Charged Off
 36 months,D,RENT,2 years,Charged Off
 36 months,F,RENT,3 years,Charged Off
 36 months,B,RENT,,Charged Off
 36 months,D,MORTGAGE,4 years,Charged Off
 36 months,D,RENT,6 years,Charged Off
 36 months,B,RENT,2 years,Charged Off
 36 months,C,RENT,9 years,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 36 months,B,RENT,10+ years,Charged Off
 36 months,B,RENT,5 years,Charged Off
 60 months,B,RENT,6 years,Charged Off
 60 months,D,RENT,10+ years,Charged Off
 36 months,D,RENT,6 years,Charged Off
 36 months,D,MORTGAGE,8 years,Charged Off
 60 months,G,RENT,< 1 year,Charged Off
 60 months,F,RENT,10+ years,Charged Off
 36 months,E,MORTGAGE,7 years,Charged Off
 60 months,G,RENT,3 years,Charged Off
 36 months,A,MORTGAGE,10+ years,Charged Off
 60 months,D,MORTGAGE,10+ years,Charged Off
 60 months,E,RENT,< 1 year,Charged Off
 36 months,D,RENT,10+ years,Charged Off
 36 months,B,MORTGAGE,2 years,Charged Off
 36 months,D,RENT,< 1 year,Charged Off
 36 months,C,MORTGAGE,10+ years,Charged Off
 60 months,D,OWN,2 years,Charged Off
 36 months,E,RENT,1 year,Charged Off
 36 months,D,RENT,3 years,Charged Off
 60 months,E,OWN,5 years,Charged Off
 36 months,E,MORTGAGE,10+ years,Charged Off
 36 months,D,RENT,6 years,Charged Off
 60 months,C,MORTGAGE,,Charged Off
 60 months,F,RENT,8 years,Charged Off
 60 months,C,RENT,10+ years,Charged Off
 36 months,D,RENT,3 years,Charged Off
 60 months,F,RENT,< 1 year,Charged Off
 60 months,D,RENT,2 years,Charged Off
 60 months,F,MORTGAGE,10+ years,Charged Off
 36 months,A,RENT,,Charged Off
 60 months,B,MORTGAGE,10+ years,Charged Off
 60 months,D,MORTGAGE,10+ years,Charged Off
 36 months,C,RENT,2 years,Charged Off
 60 months,E,MORTGAGE,10+ years,Charged Off
 60 months,F,MORTGAGE,10+ years,Charged Off
 60 months,C,MORTGAGE,6 years,Charged Off
 36 months,D,RENT,8 years,Charged Off
 36 months,B,RENT,10+ years,Charged Off
 60 months,C,RENT,2 years,Charged Off
 36 months,E,MORTGAGE,9 years,Charged Off
 36 months,D,RENT,1 year,Charged Off
 60 months,C,MORTGAGE,10+ years,Charged Off
 36 months,C,OWN,10+ years,Charged Off
 36 months,C,MORTGAGE,6 years,Charged Off
 60 months,C,MORTGAGE,10+ years,Charged Off
 60 months,E,RENT,2 years,Charged Off
 36 months,D,MORTGAGE,1 year,Charged Off
 36 months,C,RENT,5 years,Charged Off
 36 months,D,OWN,10+ years,Charged Off
 36 months,C,OWN,1 year,Charged Off
 60 months,D,MORTGAGE,2 years,Charged Off
 36 months,C,MORTGAGE,10+ years,Charged Off
 36 months,A,MORTGAGE,3 years,Charged Off
 60 months,B,MORTGAGE,10+ years,Charged Off
 36 months,B,MORTGAGE,< 1 year,Charged Off
 60 months,F,OWN,6 years,Charged Off
 36 months,D,RENT,10+ years,Charged Off
 36 months,C,RENT,10+ years,Charged Off
 36 months,D,RENT,< 1 year,Charged Off
 36 months,D,RENT,1 year,Charged Off
 36 months,D,RENT,< 1 year,Charged Off
 36 months,E,RENT,1 year,Charged Off
 60 months,F,RENT,5 years,Charged Off
 36 months,B,RENT,10+ years,Charged Off
 36 months,E,MORTGAGE,< 1 year,Charged Off
 60 months,E,RENT,6 years,Charged Off
 36 months,D,MORTGAGE,10+ years,Charged Off
 36 months,C,RENT,7 years,Charged Off
 36 months,B,OWN,5 years,Charged Off
 60 months,C,MORTGAGE,2 years,Charged Off
 60 months,F,RENT,8 years,Charged Off
 36 months,A,MORTGAGE,2 years,Charged Off
 36 months,B,MORTGAGE,3 years,Charged Off
 36 months,D,RENT,10+ years,Charged Off
 60 months,E,RENT,< 1 year,Charged Off
 60 months,E,MORTGAGE,10+ years,Charged Off
 36 months,B,RENT,3 years,Charged Off
 60 months,E,RENT,1 year,Charged Off
 36 months,B,MORTGAGE,8 years,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 36 months,B,MORTGAGE,7 years,Charged Off
 36 months,B,OWN,3 years,Charged Off
 36 months,B,RENT,10+ years,Charged Off
 60 months,D,RENT,1 year,Charged Off
 36 months,D,RENT,4 years,Charged Off
 36 months,A,RENT,10+ years,Charged Off
 36 months,D,MORTGAGE,,Charged Off
 60 months,C,RENT,10+ years,Charged Off
 36 months,B,RENT,1 year,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 36 months,C,MORTGAGE,,Charged Off
 36 months,A,RENT,1 year,Charged Off
 36 months,C,MORTGAGE,9 years,Charged Off
 36 months,E,MORTGAGE,10+ years,Charged Off
 36 months,C,MORTGAGE,3 years,Charged Off
 36 months,B,RENT,3 years,Charged Off
 60 months,F,MORTGAGE,10+ years,Charged Off
 60 months,C,MORTGAGE,7 years,Charged Off
 36 months,E,RENT,< 1 year,Charged Off
 36 months,D,MORTGAGE,,Charged Off
 60 months,B,MORTGAGE,,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 36 months,B,RENT,< 1 year,Charged Off
 60 months,E,MORTGAGE,10+ years,Charged Off
 36 months,C,RENT,8 years,Charged Off
 36 months,C,RENT,2 years,Charged Off
 60 months,F,MORTGAGE,10+ years,Charged Off
 36 months,C,MORTGAGE,4 years,Charged Off
 60 months,C,MORTGAGE,5 years,Charged Off
 60 months,E,RENT,4 years,Charged Off
 36 months,F,RENT,2 years,Charged Off
 36 months,C,RENT,10+ years,Charged Off
 36 months,D,RENT,3 years,Charged Off
 60 months,D,MORTGAGE,10+ years,Charged Off
 60 months,C,MORTGAGE,10+ years,Charged Off
 36 months,B,MORTGAGE,10+ years,Charged Off
 60 months,D,MORTGAGE,10+ years,Charged Off
 60 months,G,MORTGAGE,10+ years,Charged Off
 36 months,D,MORTGAGE,10+ years,Charged Off
 60 months,E,MORTGAGE,2 years,Charged Off
 36 months,C,RENT,10+ years,Charged Off
 60 months,E,RENT,< 1 year,Charged Off
 36 months,C,RENT,8 years,Charged Off
 36 months,C,MORTGAGE,9 years,Charged Off
 36 months,D,RENT,6 years,Charged Off
 36 months,D,OWN,10+ years,Charged Off
 36 months,D,RENT,2 years,Charged Off
 60 months,E,RENT,< 1 year,Charged Off
